,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,57826544,28584834,29241710,2217467,1093308,1124159,1561063,763998,797065,1775378,871934,903444,1739235,854397,884838,1895430,931686,963744,2361258,1168570,1192688,2326196,1148279,1177917,2218587,1096391,1122196,2341323,1161143,1180180,2189526,1087131,1102395,2498940,1248388,1250552,1719650,849645,870005,1992191,986490,1005701,1945221,963817,981404,1911487,946167,965320,2085518,1041067,1044451,1890251,939609,950642,1733505,861359,872146,1959387,979426,979961,1625602,810915,814687,1852646,928122,924524,1429103,709069,720034,1499384,742868,756516,1628258,805650,822608,1666099,823388,842711,1696516,839804,856712,1728433,849005,879428,1638637,800861,837776,1965500,953561,1011939,1823350,882901,940449,911403,445885,465518
14,60519,18184,42335,5007,1623,3384,2571,802,1769,3032,971,2061,2868,908,1960,2649,865,1784,3133,1002,2131,2613,820,1793,2724,881,1843,3216,1032,2184,3260,1044,2216,4759,1595,3164,2372,749,1623,2248,703,1545,1945,597,1348,1655,490,1165,1585,402,1183,1358,365,993,1288,333,955,1639,436,1203,1720,475,1245,2656,789,1867,1261,321,940,1064,241,823,903,201,702,777,162,615,533,91,442,419,76,343,419,87,332,414,60,354,321,51,270,110,12,98
15-19岁,7437383,2124730,5312653,263810,65311,198499,220385,56173,164212,324426,90155,234271,314753,92140,222613,326428,97637,228791,391214,120384,270830,383911,119560,264351,378375,120272,258103,412694,133145,279549,380030,124021,256009,431139,140275,290864,263998,82943,181055,271579,81689,189890,235740,68327,167413,214420,60380,154040,211870,59397,152473,176866,48145,128721,157772,41578,116194,184523,47845,136678,160175,42067,118108,190353,49770,140583,144431,35362,109069,147045,35895,111150,149303,35290,114013,158297,37031,121266,173232,41901,131331,171256,42078,129178,167614,42748,124866,194601,50530,144071,168561,44522,124039,68582,18159,50423
15,293751,76094,217657,19416,5031,14385,11311,3144,8167,12976,3375,9601,13106,3519,9587,15111,4196,10915,17324,4866,12458,13425,3536,9889,12235,3359,8876,14641,4077,10564,14400,4046,10354,19188,5811,13377,10843,3170,7673,10597,3023,7574,8718,2415,6303,8608,2262,6346,9169,2442,6727,6757,1550,5207,6400,1440,4960,7895,1779,6116,7380,1786,5594,10385,2689,7696,6427,1405,5022,6643,1399,5244,6254,1297,4957,5409,1008,4401,5309,976,4333,3411,571,2840,2942,521,2421,3550,630,2920,2907,561,2346,1014,210,804
16,532732,132689,400043,32696,7542,25154,18616,4603,14013,23505,6014,17491,21758,5381,16377,23775,5950,17825,32774,9111,23663,28260,7652,20608,25035,6664,18371,26007,7245,18762,26600,7455,19145,31531,9143,22388,17544,5045,12499,18917,5158,13759,15670,4155,11515,13502,3323,10179,15972,4196,11776,12731,3131,9600,10486,2278,8208,13552,2954,10598,12669,2858,9811,15380,3799,11581,10637,2301,8336,11397,2330,9067,11960,2414,9546,11509,2252,9257,11443,2248,9195,10496,1984,8512,8630,1603,7027,9085,1814,7271,7876,1553,6323,2719,533,2186
17,1035510,267533,767977,58065,12941,45124,37387,8691,28696,43539,10906,32633,43157,11346,31811,43885,11525,32360,55137,15075,40062,59982,16823,43159,53293,15283,38010,54586,15676,38910,50010,14779,35231,60872,18273,42599,34396,9886,24510,34944,9626,25318,30321,8044,22277,26668,7091,19577,26310,6935,19375,24337,6320,18017,20929,5290,15639,23262,5310,17952,22698,5363,17335,28274,7045,21229,18516,4207,14309,19607,4320,15287,21126,4537,16589,23602,4962,18640,24475,5309,19166,22156,4824,17332,23306,5290,18016,24080,5600,18480,18749,4410,14339,7841,1846,5995
18,1921182,533818,1387364,65014,14963,50051,69954,17037,52917,85288,22073,63215,78314,21733,56581,86266,24657,61609,97501,28420,69081,101029,30091,70938,107555,32993,74562,107415,33129,74286,100081,31776,68305,109752,35096,74656,69029,21366,47663,67859,19719,48140,58610,16397,42213,53255,14813,38442,50122,14108,36014,41730,11083,30647,40381,10660,29721,44949,11535,33414,37178,9488,27690,49358,12545,36813,35547,8681,26866,34926,8373,26553,37402,8756,28646,41044,9680,31364,46978,11387,35591,45058,11171,33887,43695,11239,32456,56448,14829,41619,43056,11538,31518,16388,4482,11906
19,3654208,1114596,2539612,88619,24834,63785,83117,22698,60419,159118,47787,111331,158418,50161,108257,157391,51309,106082,188478,62912,125566,181215,61458,119757,180257,61973,118284,210045,73018,137027,188939,65965,122974,209796,71952,137844,132186,43476,88710,139262,44163,95099,122421,37316,85105,112387,32891,79496,110297,31716,78581,91311,26061,65250,79576,21910,57666,94865,26267,68598,80250,22572,57678,86956,23692,63264,73304,18768,54536,74472,19473,54999,72561,18286,54275,76733,19129,57604,85027,21981,63046,90135,23528,66607,89041,24095,64946,101438,27657,73781,95973,26460,69513,40620,11088,29532
20-24岁,33960035,15868249,18091786,1235095,568840,666255,853971,390430,463541,914715,428981,485734,930405,433152,497253,1106841,520163,586678,1464701,704335,760366,1521321,741611,779710,1458839,719944,738895,1483090,732875,750215,1381047,679683,701364,1581065,782869,798196,1118969,539420,579549,1319335,633913,685422,1293558,616505,677053,1253827,591469,662358,1324746,624441,700305,1171959,542969,628990,1034918,474561,560357,1119791,515485,604306,922034,421198,500836,1024506,467765,556741,787890,353361,434529,832906,371803,461103,898055,399929,498126,900942,402317,498625,891551,401901,489650,885460,391636,493824,834099,367353,466746,992019,430388,561631,944493,411314,533179,477887,207638,270249
20,5566091,1878093,3687998,144212,49413,94799,98894,31735,67159,156903,53493,103410,240559,88396,152163,251832,93428,158404,274852,102992,171860,283756,108200,175556,252982,97144,155838,278869,107254,171615,286809,111463,175346,307931,118212,189719,208067,75913,132154,216214,75809,140405,201480,67820,133660,186097,59934,126163,181654,56781,124873,159425,48435,110990,133548,39148,94400,146920,43667,103253,136093,40763,95330,144189,43402,100787,110190,31004,79186,127911,36164,91747,127260,36130,91130,123151,34810,88341,127435,36823,90612,131948,37849,94099,142411,41423,100988,164019,48431,115588,144923,41793,103130,75557,20264,55293
21,7088403,3074500,4013903,205875,85129,120746,140924,55573,85351,150419,62820,87599,192852,84103,108749,322945,146221,176724,381526,173234,208292,343133,157663,185470,329759,152577,177182,317125,148409,168716,316903,147578,169325,389561,184965,204596,259644,118936,140708,295118,135084,160034,269041,120888,148153,258425,114267,144158,260668,113303,147365,224049,94974,129075,195690,81028,114662,201544,83775,117769,168948,69203,99745,199988,81723,118265,150044,60643,89401,153659,61273,92386,183451,72308,111143,176043,70705,105338,165222,66875,98347,164287,65832,98455,167412,66756,100656,216466,85156,131310,196866,77911,118955,90816,35588,55228
22,8103474,4024415,4079059,296984,134344,162640,179645,81798,97847,195308,93326,101982,164572,79981,84591,229783,116167,113616,424567,218380,206187,388919,197563,191356,341076,175289,165787,359091,185960,173131,305796,159296,146500,375271,196174,179097,285336,146366,138970,332010,169016,162994,324235,164597,159638,304639,153875,150764,327449,165125,162324,286657,143484,143173,248430,123105,125325,272899,134187,138712,214083,106972,107111,236189,115304,120885,194006,94254,99752,197017,96023,100994,206396,99288,107108,230938,109974,120964,213657,103224,110433,195003,92573,102430,187295,89658,97637,229396,108393,121003,238730,113038,125692,118097,57681,60416
23,7233415,3641457,3591958,309119,150863,158256,225859,109529,116330,196955,101100,95855,176193,91280,84913,155126,79879,75247,235363,125163,110200,337232,180845,156387,298964,158347,140617,292003,156286,135717,270922,145208,125714,280983,151357,129626,219835,114510,105325,280618,143895,136723,285982,143893,142089,283694,141799,141895,300302,149657,150645,275866,134563,141303,244859,119019,125840,265889,129627,136262,217988,106183,111805,229985,112865,117120,178654,85909,92745,195566,94490,101076,200613,98222,102391,192804,93729,99075,213269,104993,108276,196322,94619,101703,169634,82773,86861,201263,96638,104625,196418,94027,102391,105135,50189,54946
24,5968652,3249784,2718868,278905,149091,129814,208649,111795,96854,215130,118242,96888,156229,89392,66837,147155,84468,62687,148393,84566,63827,168281,97340,70941,236058,136587,99471,236002,134966,101036,200617,116138,84479,227319,132161,95158,146087,83695,62392,195375,110109,85266,212820,119307,93513,220972,121594,99378,254673,139575,115098,225962,121513,104449,212391,112261,100130,232539,124229,108310,184922,98077,86845,214155,114471,99684,154996,81551,73445,158753,83853,74900,180335,93981,86354,178006,93099,84907,171968,89986,81982,197900,100763,97137,167347,86743,80604,180875,91770,89105,167556,84545,83011,88282,43916,44366
25-29岁,13125626,8261823,4863803,615778,384390,231388,424175,271193,152982,456288,295310,160978,413790,271745,142045,374089,251146,122943,389848,262479,127369,315811,212699,103112,283364,187166,96198,345208,223817,121391,341436,221819,119617,393593,258203,135390,285104,189809,95295,337588,224817,112771,347697,229331,118366,370749,241397,129352,455562,290453,165109,451693,284889,166804,447671,280460,167211,530650,331137,199513,443070,277789,165281,516287,324942,191345,401618,252497,149121,411027,258265,152762,450795,278174,172621,465275,284170,181105,473077,285539,187538,508656,300602,208054,481223,282460,198763,588388,341861,246527,533485,306621,226864,272631,156643,115988
25,4674561,2744047,1930514,238699,138296,100403,159053,93541,65512,170414,102276,68138,151119,92444,58675,116643,73496,43147,127757,80024,47733,97579,60066,37513,110772,68473,42299,170734,106294,64440,149311,93047,56264,157444,98677,58767,111361,69985,41376,122482,75952,46530,141226,86585,54641,155465,94992,60473,189786,113431,76355,178435,105240,73195,165425,96496,68929,190594,110937,79657,154305,89989,64316,174451,101744,72707,135540,78175,57365,130925,75495,55430,145127,81437,63690,154336,85649,68687,152935,85330,67605,155072,83526,71546,160655,86590,74065,178081,95333,82748,151951,80023,71928,76884,40504,36380
26,3346070,2081585,1264485,162745,100972,61773,116158,74180,41978,115357,74327,41030,107929,70534,37395,102210,67892,34318,89860,60475,29385,77773,51803,25970,60204,38868,21336,75805,49223,26582,100829,66301,34528,108529,71795,36734,73201,48836,24365,88116,58581,29535,81499,53906,27593,94128,61170,32958,119148,76344,42804,119816,74884,44932,117790,72925,44865,133935,82950,50985,113513,69942,43571,130595,81021,49574,101187,62694,38493,105428,64643,40785,109647,66095,43552,113647,67830,45817,120500,70876,49624,129711,74246,55465,114155,65328,48827,159315,89952,69363,137819,76701,61118,65521,36291,29230
27,2354733,1543956,810777,103770,68441,35329,73739,50104,23635,82420,56322,26098,70657,48463,22194,72373,50467,21906,78355,54946,23409,55097,38909,16188,47391,32791,14600,41491,27541,13950,45137,30467,14670,73273,50078,23195,50504,35309,15195,58572,40808,17764,58627,40823,17804,55004,37798,17206,72392,48544,23848,77375,51925,25450,79447,52062,27385,96860,63394,33466,79400,52280,27120,96496,63227,33269,74534,48961,25573,77646,50894,26752,86349,55282,31067,84761,54273,30488,86618,53896,32722,102347,62424,39923,91363,55682,35681,108212,64708,43504,116134,68761,47373,58389,34376,24013
28,1616933,1101642,515291,66966,45930,21036,45188,31764,13424,53490,37488,16002,50167,35728,14439,47651,33850,13801,55279,39388,15891,48987,35497,13490,33668,24167,9501,32937,23118,9819,25465,17325,8140,33980,23571,10409,34023,24319,9704,40452,29022,11430,38410,27602,10808,39380,28007,11373,42612,29584,13028,47396,32772,14624,51505,35634,15871,65056,43691,21365,56673,38445,18228,66886,45626,21260,53405,36716,16689,56013,38449,17564,62811,42608,20203,65040,43550,21490,63332,41882,21450,71047,46005,25042,68398,43708,24690,82712,52475,30237,73523,45902,27621,44481,27819,16662
29,1133329,790593,342736,43598,30751,12847,30037,21604,8433,34607,24897,9710,33918,24576,9342,35212,25441,9771,38597,27646,10951,36375,26424,9951,31329,22867,8462,24241,17641,6600,20694,14679,6015,20367,14082,6285,16015,11360,4655,27966,20454,7512,27935,20415,7520,26772,19430,7342,31624,22550,9074,28671,20068,8603,33504,23343,10161,44205,30165,14040,39179,27133,12046,47859,33324,14535,36952,25951,11001,41015,28784,12231,46861,32752,14109,47491,32868,14623,49692,33555,16137,50479,34401,16078,46652,31152,15500,60068,39393,20675,54058,35234,18824,27356,17653,9703
30-34岁,2328493,1651916,676577,75129,55946,19183,48307,36378,11929,60841,44464,16377,60989,44217,16772,66187,47991,18196,84089,60259,23830,75713,54584,21129,69061,49587,19474,68307,49743,18564,55705,40580,15125,55414,41092,14322,31347,23293,8054,38501,28240,10261,44440,32645,11795,49526,36313,13213,63103,45709,17394,62615,45030,17585,64363,45483,18880,88263,59784,28479,71218,49873,21345,85758,60610,25148,70725,50238,20487,81852,57947,23905,98408,69468,28940,105483,74104,31379,114758,79392,35366,118365,82861,35504,108648,75130,33518,130079,88554,41525,119435,80439,38996,61864,41962,19902
30,798674,562692,235982,30092,21971,8121,19187,14011,5176,23309,16803,6506,22629,16303,6326,24300,17644,6656,29364,21064,8300,25103,18060,7043,23466,16849,6617,21732,15948,5784,14962,10884,4078,15885,11409,4476,9306,6586,2720,13525,9646,3879,19866,14655,5211,19692,14388,5304,22231,16078,6153,21408,15292,6116,20517,14350,6167,30349,20422,9927,26500,18502,7998,32200,22520,9680,26642,18864,7778,28858,20347,8511,33565,23776,9789,35029,24632,10397,36065,24739,11326,38353,26474,11879,33210,22885,10325,41382,27671,13711,39611,26384,13227,20336,13535,6801
31,562344,398463,163881,17486,13141,4345,12670,9557,3113,15332,11062,4270,15224,10937,4287,15961,11567,4394,20386,14561,5825,18783,13568,5215,15848,11292,4556,16417,11929,4488,13995,10253,3742,11744,8720,3024,7207,5321,1886,8119,5827,2292,9563,6908,2655,14184,10416,3768,16648,12055,4593,15032,10707,4325,15277,10751,4526,19558,13197,6361,17482,12052,5430,21638,15310,6328,17899,12645,5254,20966,14735,6231,24063,16900,7163,25699,18090,7609,27741,19348,8393,28050,19844,8206,26122,17911,8211,30057,20556,9501,27834,18839,8995,15359,10464,4895
32,418194,297495,120699,12229,9213,3016,7651,5957,1694,10606,7824,2782,10685,7657,3028,11618,8374,3244,15240,10918,4322,14013,10071,3942,12795,9199,3596,12424,8890,3534,11214,8208,3006,11519,8662,2857,5443,4158,1285,6791,5009,1782,6202,4454,1748,7207,5271,1936,12941,9436,3505,11928,8615,3313,11580,8198,3382,16124,10830,5294,11326,7942,3384,14641,10450,4191,12362,8847,3515,14673,10461,4212,18396,12917,5479,19133,13466,5667,21267,14765,6502,21835,15372,6463,20320,14037,6283,24248,16667,7581,20925,14272,6653,10858,7355,3503
33,312573,223490,89083,8795,6725,2070,5119,3990,1129,6771,5147,1624,7609,5645,1964,8162,5875,2287,11080,7979,3101,10204,7387,2817,9585,6940,2645,9984,7316,2668,8547,6156,2391,9217,7020,2197,5285,4059,1226,5145,3956,1189,4957,3692,1265,4696,3418,1278,6838,4937,1901,9303,6833,2470,9393,6670,2723,12239,8341,3898,9087,6446,2641,9462,6767,2695,8457,6030,2427,10266,7314,2952,13150,9228,3922,14892,10397,4495,16645,11584,5061,16994,11901,5093,16151,11295,4856,19009,13084,5925,17178,11567,5611,8353,5791,2562
34,236708,169776,66932,6527,4896,1631,3680,2863,817,4823,3628,1195,4842,3675,1167,6146,4531,1615,8019,5737,2282,7610,5498,2112,7367,5307,2060,7750,5660,2090,6987,5079,1908,7049,5281,1768,4106,3169,937,4921,3802,1119,3852,2936,916,3747,2820,927,4445,3203,1242,4944,3583,1361,7596,5514,2082,9993,6994,2999,6823,4931,1892,7817,5563,2254,5365,3852,1513,7089,5090,1999,9234,6647,2587,10730,7519,3211,13040,8956,4084,13133,9270,3863,12845,9002,3843,15383,10576,4807,13887,9377,4510,6958,4817,2141
35-39岁,573552,417357,156195,15794,12108,3686,8055,6326,1729,11011,8304,2707,11364,8475,2889,13226,9559,3667,19049,13641,5408,17403,12542,4861,16511,11918,4593,18057,13223,4834,17516,12767,4749,19757,14985,4772,11181,8622,2559,13775,10590,3185,13004,10018,2986,12177,9565,2612,14237,10845,3392,12373,9308,3065,12917,9295,3622,18808,13474,5334,15487,11179,4308,19799,14412,5387,14941,11111,3830,16685,12201,4484,19977,14590,5387,22700,16424,6276,28064,19909,8155,29850,21230,8620,31643,22304,9339,40669,28358,12311,37884,26327,11557,19638,13747,5891
35,179482,129901,49581,4857,3723,1134,2509,1962,547,3563,2679,884,3541,2674,867,4056,3050,1006,6121,4476,1645,5354,3842,1512,5380,3872,1508,5765,4263,1502,5512,4022,1490,6005,4579,1426,3219,2510,709,3978,3105,873,3777,2921,856,3006,2337,669,3643,2686,957,3246,2380,866,3831,2795,1036,7775,5569,2206,5646,4043,1603,6209,4447,1762,4568,3397,1171,4729,3448,1281,6482,4665,1817,7753,5522,2231,9704,6757,2947,10231,7191,3040,10019,6973,3046,12388,8576,3812,11138,7595,3543,5477,3842,1635
36,135977,98957,37020,3750,2844,906,1964,1540,424,2653,1969,684,2795,2054,741,2931,2156,775,4189,3116,1073,4214,3161,1053,3868,2802,1066,4365,3203,1162,4162,3073,1089,4680,3578,1102,2839,2199,640,3056,2351,705,3025,2328,697,2955,2362,593,2979,2279,700,2726,2004,722,2560,1845,715,3996,2833,1163,4351,3186,1165,5333,3896,1437,3488,2556,932,3925,2804,1121,4408,3184,1224,5426,3913,1513,6952,4940,2012,7375,5257,2118,7805,5432,2373,9472,6581,2891,9112,6329,2783,4623,3182,1441
37,105256,76814,28442,2930,2258,672,1458,1145,313,1934,1455,479,2147,1585,562,2496,1743,753,3186,2302,884,2930,2129,801,3093,2212,881,3164,2278,886,3136,2267,869,3814,2931,883,2125,1617,508,2614,1996,618,2380,1832,548,2453,1914,539,3005,2316,689,2167,1673,494,2334,1680,654,2614,1845,769,2326,1694,632,4253,3134,1119,3032,2279,753,3123,2332,791,3615,2667,948,3654,2654,1000,4917,3507,1410,5527,3978,1549,6055,4320,1735,7930,5476,2454,7080,4960,2120,3764,2635,1129
38,83567,61110,22457,2309,1785,524,1111,868,243,1497,1145,352,1592,1200,392,2122,1440,682,2909,2016,893,2252,1620,632,2224,1624,600,2681,1966,715,2446,1769,677,2907,2138,769,1633,1263,370,2256,1741,515,2062,1612,450,1990,1555,435,2453,1914,539,2311,1762,549,1939,1403,536,2342,1693,649,1663,1172,491,2369,1747,622,2483,1866,617,2620,1913,707,2933,2179,754,3245,2390,855,3444,2496,948,4014,2843,1171,4451,3224,1227,6260,4418,1842,5949,4144,1805,3100,2204,896
39,69270,50575,18695,1948,1498,450,1013,811,202,1364,1056,308,1289,962,327,1621,1170,451,2644,1731,913,2653,1790,863,1946,1408,538,2082,1513,569,2260,1636,624,2351,1759,592,1365,1033,332,1871,1397,474,1760,1325,435,1773,1397,376,2157,1650,507,1923,1489,434,2253,1572,681,2081,1534,547,1501,1084,417,1635,1188,447,1370,1013,357,2288,1704,584,2539,1895,644,2622,1945,677,3047,2209,838,2703,1961,742,3313,2355,958,4619,3307,1312,4605,3299,1306,2674,1884,790
40-44岁,193756,141165,52591,4731,3649,1082,2435,1881,554,3382,2592,790,3370,2588,782,3908,2925,983,5872,4225,1647,6448,4430,2018,6621,4516,2105,7004,4833,2171,6379,4498,1881,7587,5553,2034,3708,2746,962,5233,3833,1400,4951,3752,1199,5053,3854,1199,6783,5051,1732,6231,4553,1678,8597,5603,2994,8275,6117,2158,6076,4405,1671,6136,4745,1391,3806,2996,810,4152,3180,972,5556,4121,1435,6858,5008,1850,8364,6086,2278,8439,6215,2224,9006,6510,2496,11273,8125,3148,11206,8004,3202,6316,4571,1745
40,55320,40124,15196,1419,1090,329,804,612,192,1023,775,248,1068,821,247,1172,854,318,1808,1282,526,2440,1624,816,2043,1415,628,1713,1192,521,1683,1218,465,2096,1546,550,969,710,259,1418,1040,378,1365,1039,326,1437,1124,313,1890,1410,480,1638,1221,417,2101,1373,728,2135,1554,581,1243,925,318,1452,1093,359,918,688,230,1190,889,301,2093,1523,570,2293,1682,611,2486,1785,701,2310,1705,605,2333,1639,694,3372,2423,949,3451,2460,991,1957,1412,545
41,44532,32453,12079,1048,833,215,569,449,120,865,662,203,840,615,225,903,678,225,1328,953,375,1453,974,479,1756,1192,564,1688,1163,525,1378,975,403,1666,1235,431,937,678,259,1162,839,323,1138,858,280,1225,933,292,1566,1142,424,1386,1031,355,1761,1150,611,1862,1366,496,1441,1050,391,1223,959,264,770,596,174,871,627,244,1184,901,283,1906,1394,512,2191,1612,579,1897,1392,505,1984,1432,552,2403,1753,650,2554,1847,707,1577,1164,413
42,37109,27090,10019,936,730,206,386,300,86,590,451,139,671,518,153,772,585,187,1110,804,306,1042,753,289,1190,791,399,1589,1097,492,1293,914,379,1346,979,367,743,566,177,1066,796,270,927,701,226,899,679,220,1320,997,323,1268,934,334,1796,1170,626,1524,1140,384,1254,879,375,1361,1042,319,726,576,150,767,604,163,850,631,219,1118,809,309,1864,1397,467,1828,1350,478,1735,1242,493,2086,1484,602,1906,1352,554,1146,819,327
43,30959,22530,8429,713,551,162,359,283,76,461,358,103,444,347,97,604,460,144,911,671,240,874,617,257,940,638,302,1134,771,363,1142,787,355,1297,929,368,530,389,141,905,645,260,843,642,201,752,566,186,1081,803,278,1059,748,311,1616,1023,593,1504,1107,397,1104,797,307,1130,878,252,706,579,127,674,535,139,750,553,197,824,605,219,1054,757,297,1505,1116,389,1609,1193,416,1791,1302,489,1814,1293,521,829,587,242
44,25836,18968,6868,615,445,170,317,237,80,443,346,97,347,287,60,457,348,109,715,515,200,639,462,177,692,480,212,880,610,270,883,604,279,1182,864,318,529,403,126,682,513,169,678,512,166,740,552,188,926,699,227,880,619,261,1323,887,436,1250,950,300,1034,754,280,970,773,197,686,557,129,650,525,125,679,513,166,717,518,199,769,535,234,899,652,247,1345,1004,341,1621,1163,458,1481,1052,429,807,589,218
45-49岁,75251,54908,20343,1511,1077,434,835,620,215,1127,817,310,1118,833,285,1260,908,352,2021,1440,581,1820,1335,485,1842,1309,533,2302,1579,723,2553,1761,792,3286,2400,886,1611,1196,415,2076,1552,524,1879,1423,456,1874,1385,489,2998,2206,792,3082,1947,1135,3264,2274,990,3555,2623,932,2873,2099,774,3477,2677,800,2131,1616,515,2350,1795,555,2617,2023,594,2839,2151,688,3177,2393,784,2739,2025,714,2623,1927,696,3917,2863,1054,4156,2970,1186,2338,1684,654
45,21036,15443,5593,463,336,127,263,208,55,328,253,75,281,227,54,341,249,92,550,392,158,521,385,136,526,386,140,738,503,235,677,489,188,878,645,233,504,374,130,574,441,133,470,356,114,515,386,129,840,634,206,713,490,223,1044,705,339,993,721,272,846,623,223,955,744,211,546,420,126,587,450,137,653,505,148,649,481,168,733,530,203,629,448,181,752,544,208,1423,1063,360,1383,986,397,661,469,192
46,17387,12918,4469,381,295,86,200,154,46,258,186,72,277,219,58,289,223,66,430,318,112,430,325,105,419,294,125,579,409,170,598,416,182,690,529,161,354,268,86,524,390,134,440,341,99,390,301,89,668,512,156,665,466,199,713,495,218,833,621,212,698,510,188,832,638,194,507,379,128,530,417,113,572,451,121,637,492,145,652,506,146,610,461,149,525,382,143,839,590,249,1163,835,328,684,495,189
47,14188,10378,3810,262,182,80,152,115,37,201,140,61,228,158,70,255,179,76,372,268,104,303,217,86,353,251,102,399,259,140,513,342,171,641,475,166,295,227,68,403,308,95,357,260,97,384,278,106,551,401,150,573,361,212,651,452,199,622,455,167,525,393,132,632,497,135,440,336,104,471,358,113,501,392,109,608,476,132,676,529,147,507,379,128,503,375,128,590,427,163,691,500,191,529,388,141
48,11867,8530,3337,227,152,75,116,73,43,191,139,52,175,122,53,204,149,55,344,239,105,261,194,67,276,186,90,309,221,88,437,290,147,550,394,156,222,161,61,304,223,81,335,247,88,290,207,83,508,346,162,518,295,223,473,354,119,620,457,163,415,298,117,572,440,132,342,260,82,415,313,102,490,364,126,476,356,120,581,439,142,529,400,129,391,290,101,554,402,152,485,333,152,257,186,71
49,10773,7639,3134,178,112,66,104,70,34,149,99,50,157,107,50,171,108,63,325,223,102,305,214,91,268,192,76,277,187,90,328,224,104,527,357,170,236,166,70,271,190,81,277,219,58,295,213,82,431,313,118,613,335,278,383,268,115,487,369,118,389,275,114,486,358,128,296,221,75,347,257,90,401,311,90,469,346,123,535,389,146,464,337,127,452,336,116,511,381,130,434,316,118,207,146,61
50,71929,46502,25427,612,364,248,329,195,134,556,340,216,578,339,239,842,492,350,1331,805,526,1156,698,458,1250,798,452,1445,896,549,1600,958,642,2340,1416,924,1360,867,493,1856,1153,703,2007,1219,788,2206,1314,892,4634,2563,2071,4074,2403,1671,2715,1772,943,3883,2525,1358,2949,1830,1119,3674,2412,1262,2300,1567,733,2303,1541,762,2644,1854,790,2928,2021,907,3760,2592,1168,3249,2282,967,3362,2342,1020,4140,2822,1318,3809,2653,1156,2037,1469,568
平均初婚年龄,23.64,24.55,22.76,23.78,24.72,22.88,23.66,24.64,22.72,23.43,24.46,22.43,23.18,24.2,22.19,22.98,23.94,22.06,22.94,23.81,22.08,22.86,23.68,22.06,22.85,23.62,22.09,22.84,23.61,22.09,22.81,23.57,22.06,22.79,23.57,22.02,22.85,23.62,22.1,23.05,23.83,22.29,23.21,23.99,22.44,23.36,24.15,22.58,23.64,24.42,22.85,23.8,24.6,23.01,24.01,24.85,23.18,24.16,25.04,23.28,24.09,25.01,23.18,24.14,25.11,23.17,24.16,25.17,23.17,24.21,25.23,23.2,24.34,25.38,23.33,24.4,25.45,23.38,24.51,25.56,23.47,24.62,25.68,23.59,24.56,25.64,23.54,24.63,25.69,23.63,24.66,25.68,23.71,24.85,25.86,23.89
