½ÌÓý³Ì¶È,×ÜÊý15,ÄÐ15,Å®15,Î´»é×ÜÊý,Î´»éÄÐ,Î´»éÅ®,ÅäÅ¼×ÜÊý,ÅäÅ¼ÄÐ,ÅäÅ¼Å®,Àë»é×ÜÊý,Àë»éÄÐ,Àë»éÅ®,É¥Å¼×ÜÊý,É¥Å¼ÄÐ,É¥Å¼Å®
46,1133648,606095,527553,13951,12187,1764,1075509,572411,503098,25309,14730,10579,18879,6767,12112
47,1261502,682316,579186,14553,12853,1700,1195707,644589,551118,27823,16340,11483,23419,8534,14885
48,892039,487861,404178,10205,9069,1136,845087,461025,384062,17989,10802,7187,18758,6965,11793
49,459211,250546,208665,5206,4627,579,433190,235945,197245,10167,6077,4090,10648,3897,6751
50-54Ëê,2928970,1697982,1230988,31900,28854,3046,2741946,1594256,1147690,62685,37268,25417,92439,37604,54835
50,561390,310989,250401,6434,5761,673,526577,291482,235095,13586,8149,5437,14793,5597,9196
51,481519,278823,202696,5363,4791,572,451478,262078,189400,10828,6433,4395,13850,5521,8329
52,620341,359427,260914,6895,6290,605,580568,337257,243311,13291,7936,5355,19587,7944,11643
53,668262,395762,272500,6886,6289,597,625748,372234,253514,13374,7946,5428,22254,9293,12961
54,597458,352981,244477,6322,5723,599,557575,331205,226370,11606,6804,4802,21955,9249,12706
55-59Ëê,2621922,1587038,1034884,25240,22353,2887,2426037,1484543,941494,46560,27113,19447,124085,53029,71056
55,612256,366608,245648,6510,5822,688,569238,343124,226114,11767,6951,4816,24741,10711,14030
56,593913,355798,238115,5682,5091,591,550843,333283,217560,11349,6532,4817,26039,10892,15147
57,514136,310755,203381,4875,4304,571,475712,290742,184970,8930,5257,3673,24619,10452,14167
58,496783,304671,192112,4652,4097,555,458555,284892,173663,8143,4706,3437,25433,10976,14457
59,404834,249206,155628,3521,3039,482,371689,232502,139187,6371,3667,2704,23253,9998,13255
60-64Ëê,1414359,891595,522764,11493,10012,1481,1273389,820769,452620,17911,11043,6868,111566,49771,61795
60,380196,236194,144002,3158,2722,436,346189,218815,127374,5673,3407,2266,25176,11250,13926
61,318033,201229,116804,2547,2225,322,288307,186163,102144,3971,2383,1588,23208,10458,12750
62,253710,160260,93450,2045,1790,255,228032,147286,80746,3119,1913,1206,20514,9271,11243
63,237016,150635,86381,1873,1634,239,211493,137977,73516,2690,1750,940,20960,9274,11686
64,225404,143277,82127,1870,1641,229,199368,130528,68840,2458,1590,868,21708,9518,12190
65,1600990,1074430,526560,14857,12177,2680,1273513,902097,371416,13125,8953,4172,299495,151203,148292
¸ßÖÐ,17208583,9547986,7660597,6679086,3661288,3017798,10019668,5664229,4355439,290025,136255,153770,219804,86214,133590
15-19Ëê,3909889,2024233,1885656,3902460,2022131,1880329,7391,2092,5299,36,10,26,2,,2
15,459132,230875,228257,459110,230861,228249,22,14,8,,,,,,
16,860399,439663,420736,860278,439631,420647,120,32,88,1,,1,,,
17,1071267,549860,521407,1070788,549726,521062,475,133,342,3,1,2,1,,1
18,892162,469686,422476,890430,469221,421209,1727,463,1264,5,2,3,,,
19,626929,334149,292780,621854,332692,289162,5047,1450,3597,27,7,20,1,,1
20-24Ëê,2369140,1265687,1103453,1965542,1108961,856581,401158,155765,245393,2204,896,1308,236,65,171
20,617088,327822,289266,597449,322684,274765,19562,5111,14451,64,22,42,13,5,8
21,493336,261847,231489,453058,250661,202397,40086,11123,28963,167,55,112,25,8,17
22,434925,233370,201555,362951,207277,155674,71634,25976,45658,300,104,196,40,13,27
23,445446,238832,206614,320821,188140,132681,123858,50366,73492,691,308,383,76,18,58
24,378345,203816,174529,231263,140199,91064,146018,63189,82829,982,407,575,82,21,61
25-29Ëê,1598737,858922,739815,532078,338182,193896,1052273,514026,538247,13475,6459,7016,911,255,656
25,315311,170305,145006,160620,99605,61015,153355,70112,83243,1222,552,670,114,36,78
26,302223,162910,139313,123471,78068,45403,176950,84003,92947,1675,801,874,127,38,89
27,303227,162454,140773,97658,62659,34999,202954,98582,104372,2475,1181,1294,140,32,108
28,360878,193138,167740,89445,57994,31451,267279,133206,134073,3906,1863,2043,248,75,173
29,317098,170115,146983,60884,39856,21028,251735,128123,123612,4197,2062,2135,282,74,208
30-34Ëê,1508201,818339,689862,148142,99158,48984,1324840,702593,622247,32817,15889,16928,2402,699,1703
30,308068,165462,142606,46874,30872,16002,255752,132027,123725,5092,2453,2639,350,110,240
31,323130,174488,148642,35616,23860,11756,280832,147511,133321,6271,2993,3278,411,124,287
32,306659,166398,140261,27846,18689,9157,271566,144302,127264,6772,3275,3497,475,132,343
33,274119,149623,124496,20025,13601,6424,246856,132600,114256,6718,3263,3455,520,159,361
34,296225,162368,133857,17781,12136,5645,269834,146153,123681,7964,3905,4059,646,174,472
35-39Ëê,1556581,868614,687967,61267,42548,18719,1439314,800649,638665,50993,24095,26898,5007,1322,3685
35,292774,161226,131548,15264,10572,4692,268088,146186,121902,8760,4289,4471,662,179,483
36,304616,168682,135934,13525,9312,4213,280847,154788,126059,9381,4358,5023,863,224,639
37,316319,176606,139713,12419,8668,3751,292565,162776,129789,10341,4917,5424,994,245,749
38,322187,180930,141257,10846,7557,3289,299254,167884,131370,10958,5206,5752,1129,283,846
39,320685,181170,139515,9213,6439,2774,298560,169015,129545,11553,5325,6228,1359,391,968
40-44Ëê,1451329,824150,627179,28282,20148,8134,1357400,775495,581905,55560,25641,29919,10087,2866,7221
40,345310,195910,149400,9030,6397,2633,321404,182944,138460,13077,6037,7040,1799,532,1267
41,299948,168926,131022,6212,4482,1730,280063,158448,121615,11825,5484,6341,1848,512,1336
42,314317,178552,135765,5692,4054,1638,293940,167991,125949,12489,5880,6609,2196,627,1569
43,227289,130318,96971,3624,2602,1022,213195,123218,89977,8584,3955,4629,1886,543,1343
44,264465,150444,114021,3724,2613,1111,248798,142894,105904,9585,4285,5300,2358,652,1706
45-49Ëê,1722739,980624,742115,18807,13795,5012,1616474,931742,684732,64080,28454,35626,23378,6633,16745
45,300194,171684,128510,3747,2763,984,281942,162891,119051,11345,5128,6217,3160,902,2258
46,344713,194978,149735,3983,2897,1086,323236,185117,138119,13444,5880,7564,4050,1084,2966
47,469025,265134,203891,5050,3714,1336,440147,252013,188134,17591,7685,9906,6237,1722,4515
48,376075,217273,158802,3686,2680,1006,353579,207029,146550,13073,5853,7220,5737,1711,4026
49,232732,131555,101177,2341,1741,600,217570,124692,92878,8627,3908,4719,4194,1214,2980
50-54Ëê,1373956,805910,568046,10949,8213,2736,1287076,766292,520784,43323,20466,22857,32608,10939,21669
50,300517,171347,129170,2702,2035,667,281031,162396,118635,10809,5086,5723,5975,1830,4145
51,255058,149428,105630,2071,1574,497,238928,142069,96859,8395,3968,4427,5664,1817,3847
52,296734,173764,122970,2329,1772,557,278023,165269,112754,9284,4330,4954,7098,2393,4705
53,288753,171012,117741,2126,1566,560,270828,162884,107944,8406,3973,4433,7393,2589,4804
54,232894,140359,92535,1721,1266,455,218266,133674,84592,6429,3109,3320,6478,2310,4168
55-59Ëê,727801,458231,269570,4808,3458,1350,681203,436814,244389,15506,7559,7947,26284,10400,15884
55,210953,131112,79841,1444,1027,417,197872,125214,72658,5040,2387,2653,6597,2484,4113
56,180528,113352,67176,1201,871,330,169083,108078,61005,4027,1906,2121,6217,2497,3720
57,133408,84399,49009,851,629,222,124922,80420,44502,2724,1371,1353,4911,1979,2932
58,114065,73044,41021,781,567,214,106487,69511,36976,2156,1092,1064,4641,1874,2767
59,88847,56324,32523,531,364,167,82839,53591,29248,1559,803,756,3918,1566,2352
60-64Ëê,390518,247554,142964,2345,1656,689,358241,233336,124905,5984,3158,2826,23948,9404,14544
60,88799,57107,31692,521,394,127,82347,54067,28280,1421,751,670,4510,1895,2615
61,87463,55801,31662,523,336,187,80555,52726,27829,1457,755,702,4928,1984,2944
62,77993,49213,28780,517,355,162,71478,46390,25088,1190,613,577,4808,1855,2953
63,72962,45691,27271,418,307,111,66532,42990,23542,1009,539,470,5003,1855,3148
64,63301,39742,23559,366,264,102,57329,37163,20166,907,500,407,4699,1815,2884
65,599692,395722,203970,4406,3038,1368,494298,345425,148873,6047,3628,2419,94941,43631,51310
´óÑ§×¨¿Æ,6592134,3518974,3073160,2595521,1320514,1275007,3849598,2138010,1711588,96634,39892,56742,50381,20558,29823
15-19Ëê,462270,211746,250524,461554,211561,249993,712,183,529,4,2,2,,,
15,8882,3655,5227,8875,3651,5224,7,4,3,,,,,,
16,19573,8041,11532,19555,8030,11525,18,11,7,,,,,,
17,43131,18586,24545,43067,18558,24509,64,28,36,,,,,,
18,130983,59564,71419,130817,59520,71297,165,44,121,1,,1,,,
19,259701,121900,137801,259240,121802,137438,458,96,362,3,2,1,,,
20-24Ëê,1697537,821756,875781,1569146,778806,790340,127836,42753,85083,513,188,325,42,9,33
20,418679,199732,218947,416185,199158,217027,2482,572,1910,10,1,9,2,1,1
21,386013,187477,198536,379008,185762,193246,6978,1708,5270,20,7,13,7,,7
22,319839,155919,163920,302554,150714,151840,17229,5180,12049,49,22,27,7,3,4
23,310332,150777,159555,269707,137170,132537,40467,13559,26908,153,48,105,5,,5
24,262674,127851,134823,201692,106002,95690,60680,21734,38946,281,110,171,21,5,16
25-29Ëê,1034586,510125,524461,434179,251422,182757,594853,256525,338328,5281,2106,3175,273,72,201
25,215876,106670,109206,140401,77662,62739,75032,28823,46209,412,176,236,31,9,22
26,206349,102444,103905,106878,61796,45082,98856,40416,58440,580,223,357,35,9,26
27,201920,99037,102883,79614,47093,32521,121254,51539,69715,1008,388,620,44,17,27
28,226942,111367,115575,66756,40218,26538,158547,70506,88041,1561,623,938,78,20,58
29,183499,90607,92892,40530,24653,15877,141164,65241,75923,1720,696,1024,85,17,68
30-34Ëê,801627,410597,391030,84604,51600,33004,701877,353032,348845,14308,5778,8530,838,187,651
30,168491,84636,83855,28412,17422,10990,137849,66332,71517,2104,852,1252,126,30,96
31,171736,86932,84804,20524,12598,7926,148423,73237,75186,2642,1069,1573,147,28,119
32,163614,83367,80247,15816,9620,6196,144590,72469,72121,3048,1243,1805,160,35,125
33,144845,74729,70116,10932,6571,4361,130682,66883,63799,3055,1235,1820,176,40,136
34,152941,80933,72008,8920,5389,3531,140333,74111,66222,3459,1379,2080,229,54,175
35-39Ëê,727710,396242,331468,27103,16300,10803,677417,371086,306331,21504,8508,12996,1686,348,1338
35,148519,79464,69055,7473,4503,2970,137001,73389,63612,3811,1527,2284,234,45,189
36,148154,80195,67959,6117,3640,2477,137650,74818,62832,4083,1675,2408,304,62,242
37,148897,81065,67832,5372,3193,2179,138778,76127,62651,4387,1675,2712,360,70,290
38,143782,78892,64890,4386,2687,1699,134418,74297,60121,4576,1821,2755,402,87,315
39,138358,76626,61732,3755,2277,1478,129570,72455,57115,4647,1810,2837,386,84,302
40-44Ëê,560510,319609,240901,9763,5831,3932,528200,305306,222894,19935,7870,12065,2612,602,2010
40,141496,78945,62551,3339,1978,1361,132677,74887,57790,4966,1965,3001,514,115,399
41,119584,67161,52423,2188,1322,866,112445,64006,48439,4451,1718,2733,500,115,385
42,121202,69244,51958,2030,1190,840,114179,66170,48009,4380,1736,2644,613,148,465
43,83664,48778,34886,1170,713,457,79169,46797,32372,2902,1174,1728,423,94,329
44,94564,55481,39083,1036,628,408,89730,53446,36284,3236,1277,1959,562,130,432
45-49Ëê,461401,278154,183247,4258,2506,1752,436946,267982,168964,16707,6786,9921,3490,880,2610
45,99597,59216,40381,1042,636,406,94418,57044,37374,3457,1364,2093,680,172,508
46,105514,62804,42710,968,572,396,99867,60454,39413,3891,1590,2301,788,188,600
47,124560,74984,49576,1120,634,486,117985,72282,45703,4582,1847,2735,873,221,652
48,84730,52265,32465,705,422,283,80351,50443,29908,2967,1228,1739,707,172,535
49,47000,28885,18115,423,242,181,44325,27759,16566,1810,757,1053,442,127,315
50-54Ëê,272282,174773,97509,1875,968,907,258060,168924,89136,8436,3683,4753,3911,1198,2713
50,54602,34238,20364,443,250,193,51621,32979,18642,1913,826,1087,625,183,442
51,45049,28873,16176,315,163,152,42664,27880,14784,1481,646,835,589,184,405
52,56443,36402,20041,394,209,185,53499,35129,18370,1744,803,941,806,261,545
53,60563,39087,21476,403,197,206,57464,37878,19586,1786,739,1047,910,273,637
54,55625,36173,19452,320,149,171,52812,35058,17754,1512,669,843,981,297,684
55-59Ëê,224518,148006,76512,1249,553,696,212561,143274,69287,5385,2372,3013,5323,1807,3516
55,55701,36421,19280,334,154,180,52825,35307,17518,1465,585,880,1077,375,702
56,53129,34556,18573,270,108,162,50270,33438,16832,1350,603,747,1239,407,832
57,42626,27940,14686,214,100,114,40379,27067,13312,1010,459,551,1023,314,709
58,39497,26422,13075,249,101,148,37385,25575,11810,822,383,439,1041,363,678
59,33565,22667,10898,182,90,92,31702,21887,9815,738,342,396,943,348,595
60-64Ëê,140023,97192,42831,655,307,348,130910,93157,37753,2403,1260,1143,6055,2468,3587
60,33556,23069,10487,167,81,86,31528,22174,9354,647,334,313,1214,480,734
61,31640,22123,9517,159,72,87,29680,21252,8428,585,297,288,1216,502,714
62,27363,18947,8416,126,59,67,25617,18167,7450,423,224,199,1197,497,700
63,25318,17722,7596,116,49,67,23595,16991,6604,399,200,199,1208,482,726
64,22146,15331,6815,87,46,41,20490,14573,5917,349,205,144,1220,507,713
65,209670,150774,58896,1135,660,475,180226,135788,44438,2158,1339,819,26151,12987,13164
´óÑ§±¾¿Æ,4470409,2453720,2016689,2120243,1101246,1018997,2278262,1321042,957220,46218,19392,26826,25686,12040,13646
15-19Ëê,328764,155500,173264,328631,155445,173186,132,54,78,1,1,,,,
15,989,481,508,989,481,508,,,,,,,,,
16,2712,1295,1417,2700,1289,1411,12,6,6,,,,,,
17,16793,7622,9171,16774,7615,9159,19,7,12,,,,,,
18,99883,46027,53856,99846,46011,53835,37,16,21,,,,,,
19,208387,100075,108312,208322,100049,108273,64,25,39,1,1,,,,
20-24Ëê,1340854,676302,664552,1306581,665085,641496,34170,11177,22993,91,35,56,12,5,7
20,332646,164699,167947,332317,164613,167704,327,86,241,2,,2,,,
21,333659,168087,165572,332616,167822,164794,1037,262,775,6,3,3,,,
22,273707,139974,133733,270715,139079,131636,2981,888,2093,9,7,2,2,,2
23,224124,114580,109544,214660,111535,103125,9445,3038,6407,16,6,10,3,1,2
24,176718,88962,87756,156273,82036,74237,20380,6903,13477,58,19,39,7,4,3
25-29Ëê,798323,402339,395984,390918,224024,166894,405002,177454,227548,2273,823,1450,130,38,92
25,153206,76774,76432,118023,63881,54142,35061,12859,22202,112,32,80,10,2,8
26,157734,79042,78692,98131,55513,42618,59373,23448,35925,213,77,136,17,4,13
27,162432,81247,81185,76126,44534,31592,85851,36559,49292,424,144,280,31,10,21
28,181766,91695,90071,61971,37554,24417,119040,53869,65171,715,258,457,40,14,26
29,143185,73581,69604,36667,22542,14125,105677,50719,54958,809,312,497,32,8,24
30-34Ëê,543646,289768,253878,64955,39633,25322,471564,247306,224258,6801,2751,4050,326,78,248
30,123415,64320,59095,23304,14348,8956,99139,49599,49540,925,361,564,47,12,35
31,119114,62534,56580,16075,9782,6293,101754,52254,49500,1239,489,750,46,9,37
32,109061,57755,51306,11481,6946,4535,96071,50230,45841,1434,566,868,75,13,62
33,94617,51336,43281,7914,4870,3044,85130,45816,39314,1502,629,873,71,21,50
34,97439,53823,43616,6181,3687,2494,89470,49407,40063,1701,706,995,87,23,64
35-39Ëê,446227,257420,188807,17361,10329,7032,417651,242821,174830,10498,4106,6392,717,164,553
35,91243,51040,40203,4727,2859,1868,84627,47457,37170,1794,704,1090,95,20,75
36,90252,51659,38593,3956,2394,1562,84264,48449,35815,1909,787,1122,123,29,94
37,90962,52498,38464,3439,2027,1412,85252,49588,35664,2133,845,1288,138,38,100
38,88163,51736,36427,2796,1635,1161,82913,49195,33718,2274,861,1413,180,45,135
39,85607,50487,35120,2443,1414,1029,80595,48132,32463,2388,909,1479,181,32,149
40-44Ëê,354966,218410,136556,6445,3776,2669,336926,210157,126769,10533,4179,6354,1062,298,764
40,85899,50837,35062,2112,1226,886,81042,48626,32416,2531,935,1596,214,50,164
41,74986,45471,29515,1384,826,558,71126,43652,27474,2273,934,1339,203,59,144
42,77658,47830,29828,1378,807,571,73708,46027,27681,2323,920,1403,249,76,173
43,55040,34759,20281,806,461,345,52413,33570,18843,1660,683,977,161,45,116
44,61383,39513,21870,765,456,309,58637,38282,20355,1746,707,1039,235,68,167
45-49Ëê,254717,170760,83957,2647,1525,1122,242918,165437,77481,7893,3383,4510,1259,415,844
45,61615,40610,21005,654,383,271,58855,39343,19512,1858,808,1050,248,76,172
46,60330,40065,20265,598,370,228,57628,38862,18766,1809,723,1086,295,110,185
47,67453,45455,21998,706,382,324,64304,44067,20237,2111,908,1203,332,98,234
48,42748,29432,13316,424,235,189,40777,28546,12231,1330,575,755,217,76,141
49,22571,15198,7373,265,155,110,21354,14619,6735,785,369,416,167,55,112
50-54Ëê,106477,73068,33409,932,515,417,101206,70689,30517,3264,1478,1786,1075,386,689
50,24368,16728,7640,252,159,93,23127,16131,6996,803,375,428,186,63,123
51,18024,12360,5664,183,93,90,17134,11954,5180,557,264,293,150,49,101
52,20610,14313,6297,175,95,80,19611,13874,5737,599,262,337,225,82,143
53,22591,15470,7121,159,83,76,21501,14990,6511,669,296,373,262,101,161
54,20884,14197,6687,163,85,78,19833,13740,6093,636,281,355,252,91,161
55-59Ëê,79920,53616,26304,621,283,338,75975,51956,24019,1980,917,1063,1344,460,884
55,20395,13740,6655,152,66,86,19379,13323,6056,582,256,326,282,95,187
56,19133,12643,6490,155,75,80,18173,12221,5952,508,243,265,297,104,193
57,14930,9945,4985,119,58,61,14218,9643,4575,342,164,178,251,80,171
58,13673,9268,4405,92,40,52,13007,9003,4004,297,127,170,277,98,179
59,11789,8020,3769,103,44,59,11198,7766,3432,251,127,124,237,83,154
60-64Ëê,52942,37258,15684,294,129,165,49856,35868,13988,978,517,461,1814,744,1070
60,11613,8117,3496,78,37,41,10966,7856,3110,260,125,135,309,99,210
61,10605,7590,3015,64,23,41,10006,7304,2702,200,108,92,335,155,180
62,8647,6300,2347,54,22,32,8145,6069,2076,149,83,66,299,126,173
63,9391,6652,2739,48,25,23,8850,6380,2470,157,95,62,336,152,184
64,12686,8599,4087,50,22,28,11889,8259,3630,212,106,106,535,212,323
65,163573,119279,44294,858,502,356,142862,108123,34739,1906,1202,704,17947,9452,8495
ÑÐ¾¿Éú,427799,242048,185751,185844,94523,91321,237169,145378,91791,3974,1743,2231,812,404,408
15-19Ëê,825,420,405,812,414,398,13,6,7,,,,,,
15,84,46,38,84,46,38,,,,,,,,,
16,90,52,38,88,51,37,2,1,1,,,,,,
17,107,66,41,104,66,38,3,,3,,,,,,
18,175,85,90,168,80,88,7,5,2,,,,,,
19,369,171,198,368,171,197,1,,1,,,,,,
20-24Ëê,79715,36930,42785,78650,36572,42078,1058,354,704,6,4,2,1,,1
20,1088,495,593,1068,490,578,20,5,15,,,,,,
21,4198,1891,2307,4155,1877,2278,43,14,29,,,,,,
22,14637,6629,8008,14551,6601,7950,84,27,57,2,1,1,,,
23,28282,12982,15300,28012,12893,15119,270,89,181,,,,,,
24,31510,14933,16577,30864,14711,16153,641,219,422,4,3,1,1,,1
25-29Ëê,125945,62268,63677,85089,44846,40243,40715,17355,23360,132,61,71,9,6,3
25,26606,12873,13733,25008,12313,12695,1596,560,1036,2,,2,,,
26,25147,12502,12645,21228,10967,10261,3907,1528,2379,9,5,4,3,2,1
27,24478,12081,12397,16547,8931,7616,7914,3141,4773,17,9,8,,,
28,27361,13484,13877,13912,7756,6156,13398,5708,7690,48,19,29,3,1,2
29,22353,11328,11025,8394,4879,3515,13900,6418,7482,56,28,28,3,3,
30-34Ëê,79983,44218,35765,15611,9357,6254,63805,34623,29182,546,229,317,21,9,12
30,19491,10174,9317,5612,3291,2321,13809,6853,6956,65,28,37,5,2,3
31,18620,10061,8559,3933,2382,1551,14586,7640,6946,93,34,59,8,5,3
32,16110,8980,7130,2848,1744,1104,13145,7182,5963,115,53,62,2,1,1
33,13181,7512,5669,1803,1093,710,11252,6371,4881,124,48,76,2,,2
34,12581,7491,5090,1415,847,568,11013,6577,4436,149,66,83,4,1,3
35-39Ëê,54650,34290,20360,3936,2319,1617,49640,31554,18086,1022,401,621,52,16,36
35,11503,6980,4523,1102,667,435,10241,6250,3991,150,60,90,10,3,7
36,11152,6927,4225,897,536,361,10064,6323,3741,185,66,119,6,2,4
37,11592,7225,4367,850,486,364,10527,6661,3866,204,75,129,11,3,8
38,10537,6762,3775,603,359,244,9690,6300,3390,240,101,139,4,2,2
39,9866,6396,3470,484,271,213,9118,6020,3098,243,99,144,21,6,15
40-44Ëê,37509,25755,11754,1093,631,462,35355,24709,10646,988,386,602,73,29,44
40,9390,6269,3121,385,240,145,8754,5941,2813,235,82,153,16,6,10
41,7945,5365,2580,268,146,122,7465,5137,2328,205,80,125,7,2,5
42,7890,5357,2533,217,121,96,7440,5150,2290,215,80,135,18,6,12
43,5630,3920,1710,111,64,47,5358,3785,1573,148,66,82,13,5,8
44,6654,4844,1810,112,60,52,6338,4696,1642,185,78,107,19,10,9
45-49Ëê,28924,22189,6735,408,249,159,27660,21538,6122,761,357,404,95,45,50
45,6957,5198,1759,115,74,41,6638,5037,1601,187,80,107,17,7,10
46,7343,5598,1745,91,63,28,7037,5437,1600,192,85,107,23,13,10
47,7909,6133,1776,101,59,42,7578,5953,1625,202,105,97,28,16,12
48,4553,3576,977,58,32,26,4358,3478,880,120,62,58,17,4,13
49,2162,1684,478,43,21,22,2049,1633,416,60,25,35,10,5,5
50-54Ëê,9704,7698,2006,122,65,57,9227,7446,1781,292,165,127,63,22,41
50,2175,1710,465,28,18,10,2074,1652,422,62,39,23,11,1,10
51,1706,1369,337,26,13,13,1624,1325,299,50,28,22,6,3,3
52,1920,1527,393,23,13,10,1831,1477,354,54,33,21,12,4,8
53,2134,1692,442,29,15,14,2026,1635,391,64,33,31,15,9,6
54,1769,1400,369,16,6,10,1672,1357,315,62,32,30,19,5,14
55-59Ëê,5150,3992,1158,58,30,28,4899,3863,1036,131,72,59,62,27,35
55,1602,1216,386,20,14,6,1524,1175,349,42,19,23,16,8,8
56,1340,1055,285,16,8,8,1272,1019,253,34,23,11,18,5,13
57,880,679,201,10,4,6,831,651,180,25,16,9,14,8,6
58,717,555,162,3,1,2,691,542,149,16,9,7,7,3,4
59,611,487,124,9,3,6,581,476,105,14,5,9,7,3,4
60-64Ëê,1924,1541,383,21,12,9,1811,1471,340,51,38,13,41,20,21
60,472,362,110,6,4,2,448,347,101,11,6,5,7,5,2
61,459,367,92,6,3,3,430,350,80,10,8,2,13,6,7
62,304,250,54,1,,1,288,238,50,10,9,1,5,3,2
63,308,250,58,4,2,2,286,239,47,10,7,3,8,2,6
64,381,312,69,4,3,1,359,297,62,10,8,2,8,4,4
65,3470,2747,723,44,28,16,2986,2459,527,45,30,15,395,230,165
