"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"B/StPetersburg/94/2008_2008.0_x_x_YAM","*","*","*","*","*","*","320","*","160","160","160","*","80","*","*","*","*","*","*","320","*","*","*","*","*","*","*","160","*","*","*","*","*","*","320","*","*","*","*","*","*","*"
"B/Switzerland/1334249/2008_2008.0_x_x_YAM","*","*","*","*","320","*","320","*","320","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*"
"B/Taiwan/102/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","640","*","*","*","*","*","*","*","*","*"
"B/Taiwan/13/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/142/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*"
"B/Taiwan/16/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/165/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Taiwan/34/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/43/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Taiwan/52/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/54/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/635/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Taiwan/637/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Taiwan/68/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/69/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Taiwan/7/1988_1988.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*"
"B/Taiwan/79/2006_2006.0_x_x_YAM","*","*","*","*","*","*","*","*","*","320","*","*","*","320","*","*","*","*","*","20","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","80","*","*","*","*","*","*"
"B/Taiwan/81/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Taiwan/97271/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","640","160","*","*","*","*","*","*","*","*","*"
"B/Taiwan/98/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","640","*","*","*","*","*","*","*","*","*"
"B/Tehran/8/2009_2009.0_x_x_YAM","*","*","*","*","80","*","*","*","160","80","80","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*"
"B/Texas/3/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","1280","640","*","*","*","*","*","*","*","*","*"
"B/Texas/6/2011_2011.0_x_x_YAM","*","*","*","*","40","*","*","*","160","40","80","<10","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","160","*","*","20","*","*","*","*","*"
"B/Tokushima/101/1993_1993.0_x_x_YAM","*","*","*","320","*","*","*","20","*","*","*","*","*","*","*","*","80","*","80","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*"
"B/Tokyo/942/1996_1996.0_x_x_YAM","*","*","*","40","*","*","*","40","*","*","*","*","*","*","*","*","80","*","20","*","*","*","*","*","40","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","320"
"B/Tottori/3/2008_2008.0_x_x_YAM","*","*","*","*","160","*","160","*","160","80","80","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Trento/3/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Trieste/23/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","80","*","*","40","*","*","*","*","*","*","*","*","*"
"B/Trieste/7/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Turkey/17/2011_2011.0_x_x_YAM","*","*","*","*","320","*","*","*","80","160","80","320","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","80","*","*","*","*","*"
"B/Turkey/TR-35/2009_2009.0_x_x_YAM","*","*","*","*","80","*","*","*","40","40","80","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*"
"B/Turkey/TR-37/2009_2009.0_x_x_YAM","*","*","*","*","80","*","*","*","40","40","80","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*"
"B/Ulaanbaatar/1798/2008_2008.0_x_x_YAM","*","*","*","*","<40","*","<10","*","40","<40","40","*","<40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","<10","*","*","*","*","*","*","*"
"B/Valladolid/18/2008_2008.0_x_x_YAM","*","*","*","*","160","*","80","*","<10","80","80","*","1280","*","*","*","*","*","*","40","*","*","*","*","*","*","*","80","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Victoria/508/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Waikato/1/2006_2006.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","20","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","160","*","*","*","*","*","*"
"B/Wisconsin/1/2010_2010.0_x_x_YAM","*","*","40","*","40","*","*","*","320","160","40","10","320","*","*","*","*","80","*","*","*","*","*","40","*","160","80","*","40","*","*","*","*","640","10","*","80","*","*","*","*","*"
"B/Yamagata/16/1988_1988.0_x_x_YAM","128","*","*","80","*","*","*","160","*","*","*","*","*","*","*","*","1280","*","80","*","*","256","128","*","256","*","*","*","*","*","*","*","<40","*","*","*","*","1280","*","*","*","*"
"B/Yamagata/K298/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2560","*","*","*","*","*","*","*","5120","1280","160","2560"
"B/Yamagata/K490/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","5120","320","640","640"
"B/Yamagata/K501/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2560","*","*","*","*","*","*","*","5120","2560","320","5120"
"B/Yamagata/K508/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","2560","640","320","640"
"B/Yamagata/K515/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","5120","320","640","640"
"B/Yamagata/K520/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2560","*","*","*","*","*","*","*","5120","2560","320","2560"
"B/Yamagata/K521/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","2560","640","320","640"
"B/Yamagata/K535/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","5120","320","1280","640"
"B/Yamanashi/166/1998_1998.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","2560","*","2560","*","*","*","*","*","1280","1280","160","2560"
"B/Yopougon/GR852/2011_2011.0_x_x_YAM","*","*","*","*","40","*","*","*","80","<40","20","160","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","320","*","*","20","*","*","*","*","*"
"B/Zahedan/7/2009_2009.0_x_x_YAM","*","*","*","*","80","*","*","*","160","80","80","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*"
"Sanger-2989_B/England/145/2008_2008.0_United-Kingdom_EuropeWestern_YAM","*","*","*","*","20","*","*","*","<10","<10","80","<40","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","320","*","*","10","*","*","*","*","*"
"Sanger-2996_B/Bangladesh/3333/2007_2007.629_Bangladesh_AsiaSouth_YAM","*","*","*","*","320","*","*","*","40","80","40","10","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","320","*","*","320","*","*","*","*","*"
"Sanger-3005_B/Stockholm/12/2011_2011.237_Sweden_EuropeNorthern_YAM","*","*","*","*","80","*","*","*","160","80","40","<10","320","*","*","*","*","80","*","*","*","*","*","320","*","*","80","*","80","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-3008_B/Bretagne/1083/2011_2011.141_France_EuropeWestern_YAM","*","*","*","*","320","*","*","*","80","160","160","320","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3009_B/Paris/1403/2011_2011.237_France_EuropeWestern_YAM","*","*","*","*","160","*","*","*","40","80","160","80","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3010_B/England/243/2011_2011.415_United-Kingdom_EuropeWestern_YAM","*","*","*","*","320","*","*","*","160","320","640","320","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3026_B/Konya/TR01/2010_2010.862_Turkey_AsiaSouthWest_YAM","*","*","*","*","80","*","*","*","20","80","80","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3027_B/Adana/TR06/2010_2010.979_Turkey_AsiaSouthWest_YAM","*","*","*","*","320","*","*","*","80","40","320","320","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3028_B/Antalya/TR12/2011_2011.045_Turkey_AsiaSouthWest_YAM","*","*","*","*","80","*","*","*","40","20","80","80","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3029_B/Ankara/TR21/2011_2011.067_Turkey_AsiaSouthWest_YAM","*","*","*","*","160","*","*","*","40","40","160","160","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3057_B/Hong-Kong/748/2011_2011.459_Hong-Kong_AsiaEast_YAM","*","*","*","*","80","*","*","*","160","320","80","*","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3058_B/Hong-Kong/765/2011_2011.475_Hong-Kong_AsiaEast_YAM","*","*","*","*","160","*","*","*","320","640","160","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3072_B/Lyon/1179/2011_2011.163_France_EuropeWestern_YAM","*","*","*","*","80","*","*","*","40","160","160","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3082_B/Norway/490/2011_2011.064_Norway_EuropeNorthern_YAM","*","*","*","*","320","*","*","*","640","1280","320","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3083_B/Malmoe/1/2011_2011.229_Sweden_EuropeNorthern_YAM","*","*","*","*","160","*","*","*","320","640","160","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3095_B/England/169/2011_2011.015_United-Kingdom_EuropeWestern_YAM","*","*","*","*","320","*","*","*","<40","1280","640","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3096_B/England/172/2011_2011.010_United-Kingdom_EuropeWestern_YAM","*","*","*","*","320","*","*","*","<40","640","320","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3097_B/Turkey/682/2011_2011.130_Turkey_AsiaSouthWest_YAM","*","*","*","*","320","*","*","*","<40","1280","1280","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3098_B/Turkey/674/2011_2011.130_Turkey_AsiaSouthWest_YAM","*","*","*","*","80","*","*","*","<40","320","640","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3099_B/Serbia/2094_2011.182_Serbia_EuropeSouthEast_YAM","*","*","*","*","160","*","*","*","320","320","160","320","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-3100_B/Serbia/2095_2011.201_Serbia_EuropeSouthEast_YAM","*","*","*","*","320","*","*","*","10","640","320","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3136_B/Algeria/G44/2010_2010.815_Algeria_AfricaNorthern_YAM","*","*","*","*","*","160","*","*","320","640","160","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3137_B/Turkey/103/2011_2011.051_Turkey_AsiaSouthWest_YAM","*","*","*","*","*","40","*","*","10","160","40","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3138_B/Turkey/97/2011_2011.048_Turkey_AsiaSouthWest_YAM","*","*","*","*","*","320","*","*","640","640","320","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3139_B/Turkey/93/2011_2011.048_Turkey_AsiaSouthWest_YAM","*","*","*","*","*","320","*","*","160","640","160","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3146_B/Milano/10/2011_2011.045_Italy_EuropeSouthern_YAM","*","*","*","*","*","640","*","*","40","320","320","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3149_B/Trieste/05/2011_2011.051_Italy_EuropeSouthern_YAM","*","*","*","*","*","80","*","*","80","320","80","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3159_B/Lyon/68/2011_2011.012_France_EuropeWestern_YAM","*","*","*","*","*","320","*","*","160","320","320","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3162_B/England/170/2010_2010.916_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","320","*","*","80","320","320","*","640","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3163_B/England/512/2010_2010.968_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","320","*","*","320","640","320","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3177_B/Finland/33/2010_2010.958_Finland_EuropeNorthern_YAM","*","80","*","*","*","40","*","*","80","80","80","*","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3178_B/Finland/39/2010_2010.914_Finland_EuropeNorthern_YAM","*","160","*","*","*","40","*","*","160","160","80","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3179_B/Brussels/G0710/2010_2010.949_Belgium_EuropeWestern_YAM","*","320","*","*","*","80","*","*","80","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3180_B/Bretagne/2278/2010_2010.988_France_EuropeWestern_YAM","*","320","*","*","*","80","*","*","80","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3181_B/Paris/1850/2010_2010.911_France_EuropeWestern_YAM","*","160","*","*","*","80","*","*","40","80","80","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3187_B/Hong-Kong/2188/2010_2010.897_Hong-Kong_AsiaEast_YAM","*","640","*","*","*","80","*","*","320","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3189_B/Niedersachsen/2/2010_2010.958_Germany_EuropeWestern_YAM","*","160","*","*","*","80","*","*","40","40","80","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3190_B/Nordrhein-Westfalen/1/2010_2010.974_Germany_EuropeWestern_YAM","*","1280","*","*","*","320","*","*","640","160","320","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*"
"Sanger-3191_B/Berlin/1/2010_2010.988_Germany_EuropeWestern_YAM","*","640","*","*","*","160","*","*","160","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3192_B/Berlin/2/2010_2010.990_Germany_EuropeWestern_YAM","*","640","*","*","*","160","*","*","160","160","320","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3202_B/Tehran/5246/2010_2010.834_Iran_AsiaSouthWest_YAM","*","2560","*","*","*","320","*","*","640","80","640","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"Sanger-3861_B/Netherlands/707/2011_2011.911_Netherlands_EuropeWestern_YAM","*","*","*","*","160","*","*","*","40","160","40","*","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3864_B/Sweden/2/2011_2011.873_Sweden_EuropeNorthern_YAM","*","*","*","*","40","*","*","*","20","80","20","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*"
"Sanger-3865_B/Berlin/147/2011_2011.916_Germany_EuropeWestern_YAM","*","*","*","*","160","*","*","*","80","80","40","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*"
"Sanger-3866_B/Yopougon/GR882/2011_2011.727_Cote-dIvoire_AfricaWestern_YAM","*","*","*","*","160","*","*","*","320","80","40","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-3867_B/Yopougon/GR926/2011_2011.738_Cote-dIvoire_AfricaWestern_YAM","*","*","*","*","80","*","*","*","160","80","160","40","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","40","*","*","*","*","*"
"Sanger-3874_B/Attecoube/GR1101/2011_2011.793_Cote-dIvoire_AfricaWestern_YAM","*","*","*","*","80","*","*","*","160","80","160","80","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","80","*","*","*","*","*"
"Sanger-3875_B/Catalonia/S4251/2011_2011.947_Spain_EuropeSouthWest_YAM","*","*","*","*","80","*","*","*","320","80","80","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","80","*","*","*","*","*"
"Sanger-3876_B/Catalonia/S4125/2011_2011.875_Spain_EuropeSouthWest_YAM","*","*","*","*","80","*","*","*","160","80","40","80","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","80","*","*","*","*","*"
"Sanger-3895_B/Dakar/05/2011_2011.705_Senegal_AfricaWestern_YAM","*","*","*","*","80","*","*","*","20","80","80","40","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","320","*","*","20","*","*","*","*","*"
"Sanger-3896_B/Dakar/08/2011_2011.708_Senegal_AfricaWestern_YAM","*","*","*","*","40","*","*","*","20","40","40","40","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","320","*","*","20","*","*","*","*","*"
"Sanger-3897_B/Dakar/09/2011_2011.738_Senegal_AfricaWestern_YAM","*","*","*","*","40","*","*","*","40","40","40","320","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","40","*","*","*","*","*"
"Sanger-3899_B/Dakar/17/2011_2011.829_Senegal_AfricaWestern_YAM","*","*","*","*","20","*","*","*","40","40","40","40","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","640","*","*","10","*","*","*","*","*"
"Sanger-3900_B/Austria/653880/2012_2012.004_Austria_EuropeCentral_YAM","*","*","*","*","20","*","*","*","40","40","40","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","320","*","*","20","*","*","*","*","*"
"Sanger-3902_B/La-Rioja/RR8959/2011_2011.988_Argentina_AmericaSouth_YAM","*","*","*","*","20","*","*","*","<10","<40","20","20","<40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","320","*","*","10","*","*","*","*","*"
