"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"Sanger-3903_B/Latvia/1-48266/2012_2012.072_Latvia_EuropeEastern_YAM","*","*","*","*","40","*","*","*","40","80","80","80","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","20","*","*","*","*","*"
"Sanger-3904_B/Navarra/RR9043/2012_2012.051_Spain_EuropeSouthWest_YAM","*","*","*","*","<10","*","*","*","40","40","20","<10","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-3906_B/Yaounde/11V-18472/2011_2011.651_Cameroon_AfricaWestern_YAM","*","*","*","*","20","*","*","*","20","40","80","10","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","320","*","*","10","*","*","*","*","*"
"Sanger-3915_B/Athens-GR/123/2012_2012.086_Greece_EuropeSouthEast_YAM","*","*","*","*","160","*","*","*","320","80","160","1280","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-3916_B/Athens-GR/132/2012_2012.086_Greece_EuropeSouthEast_YAM","*","*","*","*","40","*","*","*","40","40","40","1280","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","10","*","*","*","*","*"
"Sanger-3917_B/Athens-GR/199/2012_2012.102_Greece_EuropeSouthEast_YAM","*","*","*","*","160","*","*","*","80","160","320","1280","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","640","*","*","80","*","*","*","*","*"
"Sanger-3922_B/Novosibirsk/2/2012_2012.122_Russia_AsiaNorthern_YAM","*","*","*","*","80","*","*","*","40","<10","40","80","20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-3925_B/Norway/777/2012_2012.138_Norway_EuropeNorthern_YAM","*","*","*","*","40","*","*","*","40","40","40","640","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","160","*","*","10","*","*","*","*","*"
"Sanger-3928_B/Estonia/67205/2012_2012.272_Estonia_EuropeEastern_YAM","*","*","*","*","160","*","*","*","160","80","80","160","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-3949_B/Lisboa/1/2012_2012.160_Portugal_EuropeSouthWest_YAM","*","*","*","*","40","*","*","*","80","40","160","1280","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-3952_B/Stockholm/2/2012_2012.089_Sweden_EuropeNorthern_YAM","*","*","*","*","160","*","*","*","40","160","160","160","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","160","*","*","160","*","*","*","*","*"
"Sanger-3954_B/Stockholm/8/2012_2012.179_Sweden_EuropeNorthern_YAM","*","*","*","*","40","*","*","*","80","160","80","1280","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","20","*","*","40","*","*","*","*","*"
"Sanger-3960_B/Stockholm/9/2012_2012.294_Sweden_EuropeNorthern_YAM","*","*","*","*","20","*","*","*","40","10","20","640","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","<10","*","*","20","*","*","*","*","*"
"Sanger-3961_B/Perugia/02/2012_2012.245_Italy_EuropeSouthern_YAM","*","*","*","*","40","*","*","*","40","10","40","20","20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","20","*","*","80","*","*","*","*","*"
"Sanger-3962_B/Milano/05/2012_2012.141_Italy_EuropeSouthern_YAM","*","*","*","*","80","*","*","*","40","10","80","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","160","*","*","160","*","*","*","*","*"
"Sanger-3963_B/Milano/16/2012_2012.182_Italy_EuropeSouthern_YAM","*","*","*","*","80","*","*","*","40","<40","80","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","160","*","*","*","*","*"
"Sanger-3964_B/Roma/01/2012_2012.157_Italy_EuropeSouthern_YAM","*","*","*","*","40","*","*","*","40","<40","40","640","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","<10","*","*","20","*","*","*","*","*"
"Sanger-3965_B/Ghana/FS12-831/2012_2012.485_Ghana_AfricaWestern_YAM","*","*","*","*","40","*","*","*","40","<40","80","10","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","80","*","*","40","*","*","*","*","*"
"Sanger-3966_B/Ghana/DILI12-098/2012_2012.466_Ghana_AfricaWestern_YAM","*","*","*","*","20","*","*","*","20","<40","40","10","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","80","*","*","20","*","*","*","*","*"
"Sanger-3967_B/Ghana/FS12-808/2012_2012.482_Ghana_AfricaWestern_YAM","*","*","*","*","80","*","*","*","40","<40","80","20","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-3968_B/Ghana/DILI12-102/2012_2012.466_Ghana_AfricaWestern_YAM","*","*","*","*","40","*","*","*","80","<40","80","20","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","20","*","*","*","*","*"
"Sanger-3985_B/Hong-Kong/3579/2012_2012.449_Hong-Kong_AsiaEast_YAM","*","*","*","*","20","*","*","*","80","<40","80","320","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","40","*","*","20","*","*","*","*","*"
"Sanger-3986_B/Hong-Kong/3581/2012_2012.449_Hong-Kong_AsiaEast_YAM","*","*","*","*","40","*","*","*","80","40","80","640","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","80","*","*","20","*","*","*","*","*"
"Sanger-3988_B/Hong-Kong/3585/2012_2012.480_Hong-Kong_AsiaEast_YAM","*","*","*","*","80","*","*","*","80","<40","80","40","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-3993_B/Guyane/1307/2012_2012.184_French-Guiana_AmericaSouth_YAM","*","*","*","*","40","*","*","*","80","<40","80","640","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","80","*","*","40","*","*","*","*","*"
"Sanger-3994_B/Lorraine/1408/2012_2012.324_France_EuropeWestern_YAM","*","*","*","*","10","*","*","*","40","<40","40","320","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","80","*","*","40","*","*","*","*","*"
"Sanger-4010_B/Norway/1165/2012_2012.264_Norway_EuropeNorthern_YAM","*","*","*","*","160","*","*","*","80","40","160","160","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","640","*","*","80","*","*","*","*","*"
"Sanger-4012_B/Johannesburg/242/2012_2012.266_South-Africa_AfricaSouthern_YAM","*","*","*","*","160","*","*","*","80","80","160","160","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4013_B/Johannesburg/3009/2012_2012.392_South-Africa_AfricaSouthern_YAM","*","*","*","*","40","*","*","*","80","80","80","640","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","20","*","*","*","*","*"
"Sanger-4015_B/Johannesburg/5564/2012_2012.482_South-Africa_AfricaSouthern_YAM","*","*","*","*","80","*","*","*","80","80","80","80","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-4021_B/Linares/34634/2012_2012.348_Chile_AmericaSouth_YAM","*","*","*","*","80","*","*","*","320","40","160","40","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4023_B/Massachusetts/02/2012_2012.198_USA_AmericaNorth_YAM","*","*","*","*","*","*","*","*","640","*","*","320","640","*","*","*","*","1280","*","*","*","*","*","320","*","*","160","*","*","*","*","*","*","640","*","*","320","*","*","*","*","*"
"Sanger-4025_B/Johannesburg/3559/2012_2012.474_South-Africa_AfricaSouthern_YAM","*","*","*","*","80","*","*","*","80","80","160","80","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","80","*","*","40","*","*","*","*","*"
"Sanger-4038_B/Tucuman/A285/2012_2012.619_Argentina_AmericaSouth_YAM","*","*","*","*","10","*","*","*","80","40","40","640","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","20","*","*","20","*","*","*","*","*"
"Sanger-4041_B/Buenos-Aires/8833/2012_2012.652_Argentina_AmericaSouth_YAM","*","*","*","*","10","*","*","*","40","<10","20","320","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4042_B/Estonia/55669/2011_2011.199_Estonia_EuropeEastern_YAM","*","*","*","*","*","*","*","*","160","*","*","320","1280","*","*","*","*","320","*","*","*","*","*","160","*","*","320","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4043_B/Novosibirsk/1/2012_2012.122_Russia_AsiaNorthern_YAM","*","*","*","*","*","*","*","*","160","*","*","160","1280","*","*","*","*","320","*","*","*","*","*","640","*","*","160","*","*","*","*","*","*","1280","*","*","160","*","*","*","*","*"
"Sanger-4044_B/Hong-Kong/3577/2012_2012.449_Hong-Kong_AsiaEast_YAM","*","*","*","*","*","*","*","*","160","*","*","640","160","*","*","*","*","640","*","*","*","*","*","1280","*","*","320","*","80","*","*","*","*","160","*","*","160","*","*","*","*","*"
"Sanger-4046_B/Norway/1836/2012_2012.684_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","160","<10","*","1280","5120","*","*","*","*","1280","*","*","*","*","*","*","*","*","320","*","80","*","*","*","*","80","*","*","20","*","*","*","*","*"
"Sanger-4047_B/Norway/1864/2012_2012.709_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","160","40","*","160","5120","*","*","*","*","640","*","*","*","*","*","*","*","*","640","*","160","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-4049_B/Norway/1995/2012_2012.777_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","160","*","*","320","1280","*","*","*","*","640","*","*","*","*","*","*","*","*","320","*","160","*","*","*","*","320","*","*","160","*","*","*","*","*"
"Sanger-4050_B/Norway/2026/2012_2012.772_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","320","1280","*","*","*","*","640","*","*","*","*","*","*","*","*","80","*","20","*","*","*","*","20","*","*","20","*","*","*","*","*"
"Sanger-4052_B/Norway/2114/2012_2012.827_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","320","1280","*","*","*","*","640","*","*","*","*","*","*","*","*","40","*","40","*","*","*","*","20","*","*","20","*","*","*","*","*"
"Sanger-4053_B/Norway/2117/2012_2012.829_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","160","160","*","*","*","*","1280","*","*","*","*","*","*","*","*","40","*","40","*","*","*","*","160","*","*","10","*","*","*","*","*"
"Sanger-4054_B/Norway/2157/2012_2012.843_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","160","160","*","*","*","*","640","*","*","*","*","*","*","*","*","40","*","40","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4060_B/England/594/2012_2012.829_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","160","80","*","*","*","*","640","*","*","*","*","*","*","*","*","20","*","10","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4063_B/England/580/2012_2012.810_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","*","*","*","160","*","*","320","2560","*","*","*","*","1280","*","*","*","*","*","*","*","*","40","*","40","*","*","*","*","40","*","*","40","*","*","*","*","*"
"Sanger-4067_B/Denmark/26/2012_2012.903_Denmark_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","40","*","*","160","80","*","*","*","*","640","*","*","*","*","*","*","*","*","20","*","10","*","*","*","*","40","*","*","10","*","*","*","*","*"
"Sanger-4069_B/Denmark/31/2012_2012.930_Denmark_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","160","1280","*","*","*","*","640","*","*","*","*","*","*","*","*","20","*","10","*","*","*","*","40","*","*","10","*","*","*","*","*"
"Sanger-4070_B/Stockholm/14/2012_2012.843_Sweden_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","80","*","*","20","320","*","*","*","*","40","*","*","*","*","*","*","*","*","40","*","10","*","*","*","*","40","*","*","40","*","*","*","*","*"
"Sanger-4074_B/Baden-Wurttemberg/39/2012_2012.816_Germany_EuropeWestern_YAM","*","*","*","*","*","*","*","*","160","*","*","320","320","*","*","*","*","640","*","*","*","*","*","*","*","*","320","*","320","*","*","*","*","320","*","*","160","*","*","*","*","*"
"Sanger-4080_B/England/709/2012_2012.969_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","10","<40","*","*","*","*","80","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","40","*","*","20","*","*","*","*","*"
"Sanger-4081_B/England/707/2012_2012.993_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","*","*","*","80","*","*","320","640","*","*","*","*","640","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","40","*","*","10","*","*","*","*","*"
"Sanger-4084_B/Lyon/2771/2012_2012.960_France_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","40","*","*","*","*","320","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","10","*","*","10","*","*","*","*","*"
"Sanger-4086_B/Baden-Wurttemberg/41/2012_2012.903_Germany_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","10","320","*","*","*","*","40","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4089_B/Thuringen/1/2013_2013.018_Austria_EuropeCentral_YAM","*","*","*","*","*","*","*","*","40","*","*","320","640","*","*","*","*","320","*","*","*","*","*","*","*","*","20","*","*","*","*","*","*","40","*","*","10","*","*","*","*","*"
"Sanger-4090_B/England/706/2012_2012.960_United-Kingdom_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","40","640","*","*","*","*","80","*","*","*","*","*","*","*","*","20","*","*","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4092_B/Saarland/2/2012_2012.960_Germany_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","640","1280","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","20","*","*","10","*","*","*","*","*"
"Sanger-4093_B/Lisboa/PT/7/2012_2012.903_Portugal_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","80","*","*","40","1280","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4096_B/Porto/PT/14/2012_2012.999_Portugal_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","40","*","*","40","2560","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4097_B/Lisboa/PT/9/2012_2012.988_Portugal_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","40","*","*","640","2560","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4098_B/Braga/PT/12/2012_2012.971_Portugal_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","40","*","*","320","2560","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4101_B/Porto/EuroEva38/2013_2013.010_Portugal_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","20","*","*","10","2560","*","*","*","*","80","*","*","*","*","*","40","*","*","80","*","40","*","*","*","*","160","*","*","<40","*","*","*","*","*"
"Sanger-4103_B/Ghana/ARI-1648/2012_2012.663_Ghana_AfricaWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","80","2560","*","*","*","*","160","*","*","*","*","*","160","*","*","320","*","80","*","*","*","*","160","*","*","80","*","*","*","*","*"
"Sanger-4104_B/Ghana/DILI-0859/2012_2012.799_Ghana_AfricaWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","40","2560","*","*","*","*","320","*","*","*","*","*","320","*","*","320","*","80","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4108_B/Pays-de-Loire/1791/2012_2012.884_France_EuropeWestern_YAM","*","*","*","*","*","*","*","*","160","*","*","640","2560","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","80","*","*","*","*","80","*","*","80","*","*","*","*","*"
"Sanger-4109_B/Caen/1808/2012_2012.876_France_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","20","40","*","*","*","*","160","*","*","*","*","*","80","*","*","80","*","40","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4110_B/Belgium/G922/2012_2012.933_Belgium_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","40","*","*","*","*","320","*","*","*","*","*","160","*","*","20","*","10","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4111_B/Norway/2349/2012_2012.903_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","40","*","*","*","*","640","*","*","*","*","*","160","*","*","40","*","10","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4112_B/Switzerland/7587143/2012_2012.941_Switzerland_EuropeCentral_YAM","*","*","*","*","*","*","*","*","20","*","*","40","40","*","*","*","*","160","*","*","*","*","*","160","*","*","160","*","40","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4113_B/Switzerland/7628394/2012_2012.960_Switzerland_EuropeCentral_YAM","*","*","*","*","*","*","*","*","40","*","*","40","40","*","*","*","*","160","*","*","*","*","*","80","*","*","80","*","40","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4115_B/Parma/03/2012_2012.966_Italy_EuropeSouthern_YAM","*","*","*","*","*","*","*","*","<10","*","*","20","1280","*","*","*","*","80","*","*","*","*","*","160","*","*","80","*","40","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4116_B/Milano/44/2012_2012.960_Italy_EuropeSouthern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","80","*","*","*","*","640","*","*","*","*","*","160","*","*","40","*","20","*","*","*","*","40","*","*","<40","*","*","*","*","*"
"Sanger-4117_B/Ireland/88486/2012_2012.889_Ireland_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","1280","*","*","*","*","640","*","*","*","*","*","160","*","*","40","*","10","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4118_B/Ireland/90999/2012_2012.900_Ireland_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","2560","*","*","*","*","640","*","*","*","*","*","320","*","*","40","*","10","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4120_B/Ireland/02490/2013_2013.021_Ireland_EuropeWestern_YAM","*","*","*","*","*","*","*","*","40","*","*","160","640","*","*","*","*","160","*","*","*","*","*","80","*","*","20","*","<10","*","*","*","*","40","*","*","<40","*","*","*","*","*"
"Sanger-4121_B/Latvia/12-32427p/2012_2012.922_Latvia_EuropeEastern_YAM","*","*","*","*","*","*","*","*","40","*","*","80","80","*","*","*","*","160","*","*","*","*","*","160","*","*","160","*","80","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4122_B/Latvia/1-40275p/2013_2013.040_Latvia_EuropeEastern_YAM","*","*","*","*","*","*","*","*","40","*","*","320","1280","*","*","*","*","640","*","*","*","*","*","160","*","*","20","*","10","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4123_B/Israel/1/2013_2013.040_Israel_AsiaSouthWest_YAM","*","*","*","*","*","*","*","*","40","*","*","640","2560","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","20","*","*","*","*","80","*","*","<40","*","*","*","*","*"
"Sanger-4124_B/Pais-Vasco/284/2012_2012.851_Spain_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","80","*","*","160","2560","*","*","*","*","320","*","*","*","*","*","320","*","*","320","*","160","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4125_B/Navarra/304/2012_2012.865_Spain_EuropeSouthWest_YAM","*","*","*","*","*","*","*","*","40","*","*","640","40","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","20","*","*","*","*","40","*","*","<40","*","*","*","*","*"
"Sanger-4128_B/Norway/2281/2012_2012.870_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","40","*","*","640","80","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","20","*","*","*","*","80","*","*","80","*","*","*","*","*"
"Sanger-4129_B/Belgium/G901/2012_2012.908_Belgium_EuropeWestern_YAM","*","*","*","*","*","*","*","*","20","*","*","20","<40","*","*","*","*","80","*","*","*","*","*","160","*","*","80","*","40","*","*","*","*","160","*","*","<40","*","*","*","*","*"
"Sanger-4130_B/Milano/36/2012_2012.925_Italy_EuropeSouthern_YAM","*","*","*","*","*","*","*","*","20","*","*","40","1280","*","*","*","*","160","*","*","*","*","*","80","*","*","160","*","80","*","*","*","*","160","*","*","40","*","*","*","*","*"
"Sanger-4132_B/Athens-GR/11/2013_2013.021_Greece_EuropeSouthEast_YAM","*","*","*","*","*","*","*","*","320","*","*","1280","640","*","*","*","*","1280","*","*","*","*","*","1280","*","*","320","*","640","*","*","*","*","320","*","*","160","*","*","*","*","*"
"Sanger-4134_B/Norway/2476/2012_2012.941_Norway_EuropeNorthern_YAM","*","*","*","*","*","*","*","*","160","*","*","640","2560","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","80","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-4135_B/Paris/1828/2012_2012.911_France_EuropeWestern_YAM","*","*","*","*","*","*","*","*","160","*","*","160","20","*","*","*","*","320","*","*","*","*","*","320","*","*","320","*","320","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-4136_B/Guyane/308/2012_2012.865_French-Guiana_AmericaSouth_YAM","*","*","*","*","*","*","*","*","160","*","*","640","2560","*","*","*","*","640","*","*","*","*","*","320","*","*","40","*","40","*","*","*","*","320","*","*","40","*","*","*","*","*"
"Sanger-4138_B/Parma/01/2013_2013.023_Italy_EuropeSouthern_YAM","*","*","*","*","*","*","*","*","320","*","*","1280","5120","*","*","*","*","640","*","*","*","*","*","640","*","*","80","*","80","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4139_B/Trieste/01/2013_2013.037_Italy_EuropeSouthern_YAM","*","*","*","*","*","*","*","*","160","*","*","1280","320","*","*","*","*","640","*","*","*","*","*","320","*","*","80","*","40","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4144_B/Bucuresti/131574/2013_2013.037_Romania_EuropeSouthEast_YAM","*","*","*","*","*","*","*","*","320","*","*","1280","320","*","*","*","*","1280","*","*","*","*","*","320","*","*","80","*","40","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4147_B/Blida/143/2012_2012.895_Algeria_AfricaNorthern_YAM","*","*","*","*","*","*","*","*","160","*","*","80","80","*","*","*","*","320","*","*","*","*","*","160","*","*","160","*","160","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-4148_B/Hong-Kong/12/2013_2013.051_Hong-Kong_AsiaEast_YAM","*","*","*","*","*","*","*","*","320","*","*","1280","320","*","*","*","*","1280","*","*","*","*","*","1280","*","*","160","*","160","*","*","*","*","640","*","*","160","*","*","*","*","*"
"Sanger-4149_B/Hong-Kong/3611/2012_2012.903_Hong-Kong_AsiaEast_YAM","*","*","*","*","*","*","*","*","160","*","*","640","2560","*","*","*","*","1280","*","*","*","*","*","320","*","*","80","*","40","*","*","*","*","320","*","*","80","*","*","*","*","*"
"Sanger-4152_B/Netherlands/521/2012_2012.911_Netherlands_EuropeWestern_YAM","*","*","*","*","*","*","*","*","320","*","*","1280","320","*","*","*","*","1280","*","*","*","*","*","640","*","*","80","*","80","*","*","*","*","80","*","*","80","*","*","*","*","*"
"Sanger-4153_B/Netherlands/039/2012_2013.010_Netherlands_EuropeWestern_YAM","*","*","*","*","*","*","*","*","320","*","*","640","2560","*","*","*","*","1280","*","*","*","*","*","640","*","*","80","*","40","*","*","*","*","320","*","*","80","*","*","*","*","*"
